0, 0, 00:08:14.366
1, 0, 00:08:14.440
2, 1, 00:08:14.497
3, 3, 00:08:14.503
4, 2, 00:08:14.509
5, 4, 00:08:14.514
6, 5, 00:08:14.520
7, 6, 00:08:14.523
8, 7, 00:08:14.526
9, 8, 00:08:14.529
10, 9, 00:08:14.532
11, 0, 00:08:14.537
12, 1, 00:08:14.541
13, 3, 00:08:14.545
14, 2, 00:08:14.549
15, 2, 00:08:14.555
16, 5, 00:08:14.560
17, 6, 00:08:14.563
18, 7, 00:08:14.568
19, 8, 00:08:14.570
20, 9, 00:08:14.572
21, 0, 00:08:14.575
22, 1, 00:08:14.578
23, 3, 00:08:14.581
24, 4, 00:08:14.584
25, 2, 00:08:14.588
26, 5, 00:08:14.591
27, 6, 00:08:14.596
28, 7, 00:08:14.599
29, 8, 00:08:14.603
30, 9, 00:08:14.605
31, 0, 00:08:14.608
32, 1, 00:08:14.615
33, 3, 00:08:14.618
34, 4, 00:08:14.623
35, 4, 00:08:14.630
36, 5, 00:08:14.634
37, 6, 00:08:14.638
38, 7, 00:08:14.645
39, 8, 00:08:14.650
40, 9, 00:08:14.653
41, 0, 00:08:14.657
42, 1, 00:08:14.661
43, 3, 00:08:14.664
44, 2, 00:08:14.667
45, 4, 00:08:14.671
46, 5, 00:08:14.675
47, 6, 00:08:14.679
48, 7, 00:08:14.683
49, 8, 00:08:14.686
50, 9, 00:08:14.688
51, 0, 00:08:14.691
52, 1, 00:08:14.694
53, 3, 00:08:14.697
54, 2, 00:08:14.700
55, 4, 00:08:14.703
56, 5, 00:08:14.706
57, 6, 00:08:14.708
58, 7, 00:08:14.711
59, 8, 00:08:14.713
60, 9, 00:08:14.717
61, 0, 00:08:14.720
62, 1, 00:08:14.723
63, 3, 00:08:14.726
64, 2, 00:08:14.729
65, 4, 00:08:14.732
66, 5, 00:08:14.735
67, 6, 00:08:14.738
68, 7, 00:08:14.740
69, 8, 00:08:14.743
70, 9, 00:08:14.746
71, 0, 00:08:14.748
72, 0, 00:08:14.752
73, 3, 00:08:14.754
74, 2, 00:08:14.757
75, 4, 00:08:14.761
76, 5, 00:08:14.763
77, 6, 00:08:14.766
78, 7, 00:08:14.768
79, 8, 00:08:14.772
80, 9, 00:08:14.775
81, 1, 00:08:14.778
82, 0, 00:08:14.780
83, 3, 00:08:14.783
84, 2, 00:08:14.786
85, 4, 00:08:14.788
86, 5, 00:08:14.792
87, 6, 00:08:14.795
88, 7, 00:08:14.798
89, 8, 00:08:14.800
90, 9, 00:08:14.806
91, 1, 00:08:14.813
92, 3, 00:08:14.819
93, 2, 00:08:14.828
94, 4, 00:08:14.835
95, 5, 00:08:14.843
96, 6, 00:08:14.851
97, 7, 00:08:14.856
98, 8, 00:08:14.862
99, 9, 00:08:14.867
100, 1, 00:08:14.870
